Manufacturer,ModelYear,ModelNumber,Description,Description2,Package,Style_ID
HYUNDAI,2025,ELCS4V2BES00,Elantra Essential,,,
HYUNDAI,2025,ELCS4V2BPR00,Elantra Preferred,,,
HYUNDAI,2025,ELCS4V2BPRTE,Elantra With Tech Package,,,
HYUNDAI,2025,ELCS4V2BLU00,Elantra Luxury,,,
HYUNDAI,2025,ELCS4V2BLUME,Elantra Luxury Two-Tone Interior,,,
HYUNDAI,2025,ELCS4U1ANLUL,Elantra N-Line Ultimate,,,
HYUNDAI,2025,ELHS4T1BLUHE,Elantra Hybrid Luxury,,,
HYUNDAI,2025,ELHS4T1BLUHM,Elantra Hybrid Luxury Two-Tone Interior,,,
HYUNDAI,2025,ELCS472ANN00,Elantra N M/t,,,
HYUNDAI,2025,ELCS4M2ANN00,Elantra N Dct,,,
HYUNDAI,2025,SOCS4J2EPRTR,Sonata Preferred-Trend Fwd,,,
HYUNDAI,2025,SOCS4K2EPRTR,Sonata Preferred-Trend Awd,,,
HYUNDAI,2025,SOCS4M2DNL00,Sonata N-Line,,,
HYUNDAI,2025,VNCW5V1FES00,Venue Essential,,,
HYUNDAI,2025,VNCW5V1FESTT,Venue Essential Two-Tone,,,
HYUNDAI,2025,VNCW5V1FPR00,Venue Preferred,,,
HYUNDAI,2025,VNCW5V1FPRTT,Venue Preferred Two-Tone,,,
HYUNDAI,2025,VNCW5V1FULCP,Venue Ultimate  Denim Interior,,,
HYUNDAI,2025,VNCW5V1FUL00,Venue Ultimate  Black Interior,,,
HYUNDAI,2025,KOCW5V2BES00,Kona 2.0l Essential Fwd,,,
HYUNDAI,2025,KOCW5Q2BES00,Kona 2.0l Essential Awd,,,
HYUNDAI,2025,KOCW5V2BPR00,Kona 2.0l Preferred Fwd,,,
HYUNDAI,2025,KOCW5Q2BPR00,Kona 2.0l Preferred Awd,,,
HYUNDAI,2025,KOCW5Q2BPRTR,Kona 2.0l Preferred Awd With Trend Package,,,
HYUNDAI,2025,KOCW5K1APRSP,Kona 1.6t Preferred Sport Awd,,,
HYUNDAI,2025,KOCW5K1ANL00,Kona 1.6t N-Line Awd,,,
HYUNDAI,2025,KOCW5K1ANLTT,Kona 1.6t N-Line Awd With Two-Tone,,,
HYUNDAI,2025,KOCW5K1ANLUL,Kona 1.6t N-Line Ultimate Awd,,,
HYUNDAI,2025,KOCW5K1ANLBA,Kona 1.6t N-Line Ultimate Awd With Two-Tone,,,
HYUNDAI,2025,KEEW5ZE4PR00,Kona Electric Preferred,,,
HYUNDAI,2025,KEEW5ZE4PRTR,Kona Electric Preferred With Trend Package,,,
HYUNDAI,2025,KEEW5ZE4PRUP,Kona Electric Preferred With Ultimate Package,,,
HYUNDAI,2025,KEEW5ZE4PRUT,Kona Electric Preferred With Ultimate Package Two-Tone,,,
HYUNDAI,2025,KEEW5ZE4PRUG,Kona Electric Preferred With Ultimate Package Green Interior,,,
HYUNDAI,2025,KEEW5ZE4PRNU,Kona Electric Preferred N-Line With Ultimate Pk,,,
HYUNDAI,2025,KE2SEFEME400,Kona Electric Ultimate,,,
HYUNDAI,2025,KE2SEFEME466,Kona Electric Ultimate W/two-Tone Interior,,,
HYUNDAI,2025,KE2SEFEME4BF,Kona Electric Ultimate W/sage-Green Interior,,,
HYUNDAI,2025,KE2SEFEMEO20,Kona Electric N-Line Ultimate,,,
HYUNDAI,2025,TUCWDK2EPR00,Tucson Preferred,,,
HYUNDAI,2025,TUCWDK2EPRTR,Tucson Trend,,,
HYUNDAI,2025,TUCWDK2EXR00,Tucson Xrt,,,
HYUNDAI,2025,TUHWDG1ANLHE,Tucson Hybrid N-Line,,,
HYUNDAI,2025,TUHWDG1AULHE,Tucson Hybrid Ultimate,,,
HYUNDAI,2025,TUPWDG1AULPH,Tucson Plug-In Ultimate,,,
HYUNDAI,2025,SAHW7G1APRHE,Santa Fe 1.6t Preferred Hybrid Awd 7-Pass,,,
HYUNDAI,2025,SAHW7G1APRTH,Santa Fe 1.6t Preferred Hybrid W/trend Package Awd 7-Pass,,,
HYUNDAI,2025,SACW7N2DXR00,Santa Fe 2.5t Xrt Awd 7-Pass,,,
