Description,Description2,Drivetrain,Manufacturer,ModelNumber,ModelYear,Package,PassDoors,StyleID,Style_ID
Essential Ivt,IVT,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BES00,2024,Essential,4,449710,4dr Car
Preferred Ivt,IVT,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BPR00,2024,Preferred,4,449711,4dr Car
Preferred Ivt W/tech Package,IVT w/Tech Pkg,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BPRTE,2024,Preferred,4,449712,4dr Car
Luxury Ivt,IVT,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BLU00,2024,Luxury,4,449713,4dr Car
Luxury Ivt W/two-Tone Interior,IVT w/Two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BLUME,2024,Luxury,4,449714,4dr Car
N-Line Ultimate Dct,DCT,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4U1ANLUL,2024,N Line Ultimate,4,449715,4dr Car
Luxury Dct,DCT,FRONT_WHEEL_DRIVE,HYUNDAI,ELHS4T1BLUHE,2024,Luxury,4,449812,4dr Car
Luxury Dct W/two-Tone Interior,DCT w/Two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,ELHS4T1BLUHM,2024,Luxury,4,449813,4dr Car
Manual,Manual,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS472ANN00,2024,,4,456372,4dr Car
Dct,DCT,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4M2ANN00,2024,,4,456373,4dr Car
Preferred Rwd Long Range,RWD Long Range,REAR_WHEEL_DRIVE,HYUNDAI,I5EW5ZE4PRLR,2024,Preferred,4,449830,Sport Utility
Preferred Awd Long Range,AWD Long Range,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE2PRLR,2024,Preferred,4,449831,Sport Utility
Preferred Awd Long Range W/ultimate Package,AWD Long Range w/Ultimate Pkg,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE2PRUP,2024,Preferred,4,449832,Sport Utility
Preferred Awd Long Range W/luxury Package *ltd Avail*,AWD Long Range w/Luxury Pkg,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE2PRLP,2024,Preferred,4,449833,Sport Utility
Preferred Rwd Long Range,RWD Long Range,REAR_WHEEL_DRIVE,HYUNDAI,I6ES4ZE4PRLR,2024,Preferred,4,449183,4dr Car
Preferred Awd Long Range,AWD Long Range,ALL_WHEEL_DRIVE,HYUNDAI,I6ES4ZE2PRLR,2024,Preferred,4,449184,4dr Car
Preferred Awd Long Range W/ultimate Package,AWD Long Range w/Ultimate Pkg,ALL_WHEEL_DRIVE,HYUNDAI,I6ES4ZE2PRUP,2024,Preferred,4,449185,4dr Car
Preferred Rwd Long Range W/ultimate Package,RWD Long Range w/Ultimate Pkg,REAR_WHEEL_DRIVE,HYUNDAI,I6ES4ZE4PRUP,2024,Preferred,4,449186,4dr Car
2.0l Essential Fwd,2.0L FWD,FRONT_WHEEL_DRIVE,HYUNDAI,KOCW5V2BES00,2024,Essential,4,446865,Sport Utility
2.0l Preferred Fwd,2.0L FWD,FRONT_WHEEL_DRIVE,HYUNDAI,KOCW5V2BPR00,2024,Preferred,4,446866,Sport Utility
2.0l Essential Awd,2.0L AWD,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BES00,2024,Essential,4,446867,Sport Utility
2.0l Preferred Awd,2.0L AWD,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BPR00,2024,Preferred,4,446868,Sport Utility
2.0l Preferred Awd W/trend Package,2.0L AWD w/Trend Package,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BPRTR,2024,Preferred,4,446869,Sport Utility
1.6t N-Line Awd,1.6T AWD,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANL00,2024,N Line,4,446870,Sport Utility
1.6t N-Line Awd W/two-Tone Roof,1.6T AWD w/Two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLTT,2024,N Line,4,446871,Sport Utility
1.6t N-Line Ultimate Awd,1.6T AWD,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLUL,2024,N Line Ultimate,4,446872,Sport Utility
