Description,Drivetrain,Manufacturer,ModelNumber,ModelYear,Package,PassDoors,StyleID,Style_ID,TrimName
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BES00,2024,Essential,4,449710,4dr Car,IVT
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BPR00,2024,Preferred,4,449711,4dr Car,IVT
Preferred Ivt W/tech Package,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BPRTE,2024,Preferred,4,449712,4dr Car,IVT w/Tech Pkg
Luxury Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BLU00,2024,Luxury,4,449713,4dr Car,IVT
Luxury Ivt W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BLUME,2024,Luxury,4,449714,4dr Car,IVT w/Two-Tone Interior
N-Line Ultimate Dct,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4U1ANLUL,2024,N Line Ultimate,4,449715,4dr Car,DCT
Luxury Dct,FRONT_WHEEL_DRIVE,HYUNDAI,ELHS4T1BLUHE,2024,Luxury,4,449812,4dr Car,DCT
Luxury Dct W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,ELHS4T1BLUHM,2024,Luxury,4,449813,4dr Car,DCT w/Two-Tone Interior
Manual,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS472ANN00,2024,,4,456372,4dr Car,Manual
Dct,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4M2ANN00,2024,,4,456373,4dr Car,DCT
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,I5EW5ZE4PRLR,2024,Preferred,4,449830,Sport Utility,RWD Long Range
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE2PRLR,2024,Preferred,4,449831,Sport Utility,AWD Long Range
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE2PRUP,2024,Preferred,4,449832,Sport Utility,AWD Long Range w/Ultimate Pkg
Preferred Awd Long Range W/luxury Package *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE2PRLP,2024,Preferred,4,449833,Sport Utility,AWD Long Range w/Luxury Pkg
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,I6ES4ZE4PRLR,2024,Preferred,4,449183,4dr Car,RWD Long Range
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,I6ES4ZE2PRLR,2024,Preferred,4,449184,4dr Car,AWD Long Range
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,I6ES4ZE2PRUP,2024,Preferred,4,449185,4dr Car,AWD Long Range w/Ultimate Pkg
Preferred Rwd Long Range W/ultimate Package,REAR_WHEEL_DRIVE,HYUNDAI,I6ES4ZE4PRUP,2024,Preferred,4,449186,4dr Car,RWD Long Range w/Ultimate Pkg
2.0l Essential Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KOCW5V2BES00,2024,Essential,4,446865,Sport Utility,2.0L FWD
2.0l Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KOCW5V2BPR00,2024,Preferred,4,446866,Sport Utility,2.0L FWD
2.0l Essential Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BES00,2024,Essential,4,446867,Sport Utility,2.0L AWD
2.0l Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BPR00,2024,Preferred,4,446868,Sport Utility,2.0L AWD
2.0l Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BPRTR,2024,Preferred,4,446869,Sport Utility,2.0L AWD w/Trend Package
1.6t N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANL00,2024,N Line,4,446870,Sport Utility,1.6T AWD
1.6t N-Line Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLTT,2024,N Line,4,446871,Sport Utility,1.6T AWD w/Two-Tone Roof
1.6t N-Line Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLUL,2024,N Line Ultimate,4,446872,Sport Utility,1.6T AWD
1.6t N-Line Ultimate Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLBA,2024,N Line Ultimate,4,446887,Sport Utility,1.6T AWD w/Two-Tone Roof
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PR00,2024,Preferred,4,451911,Sport Utility,FWD
Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4UL00,2024,Ultimate,4,451912,Sport Utility,FWD
Ultimate Fwd W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4ULTT,2024,Ultimate,4,451913,Sport Utility,FWD w/Two-Tone Interior
Ultimate Fwd W/sage-Green Interior,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4ULBF,2024,Ultimate,4,451914,Sport Utility,FWD w/Sage-Green Interior
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,NXFW5ZH1PR00,2024,Preferred,4,452614,Sport Utility,FWD
Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,NXFW5ZH1UL00,2024,Ultimate,4,452615,Sport Utility,FWD
Preferred 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW8K3DPR00,2024,Preferred,4,443076,Sport Utility,8-Passenger AWD
Urban 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW8K3DUR00,2024,Urban,4,443077,Sport Utility,8-Passenger AWD
Urban 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3DUR91,2024,Urban,4,443078,Sport Utility,7-Passenger AWD
Ultimate Calligraphy 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3DULC7,2024,Ultimate Calligraphy,4,443079,Sport Utility,7-Passenger AWD
Ultimate Calligraphy W/beige 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3DULCB,2024,Ultimate Calligraphy,4,443080,Sport Utility,7-Passenger AWD w/Beige
Preferred Awd *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DPR00,2024,Preferred,4,445090,Crew Cab Pickup,AWD
Trend Awd *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DPRTR,2024,Trend,4,445091,Crew Cab Pickup,AWD
Ultimate Awd *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DUL00,2024,Ultimate,4,445092,Crew Cab Pickup,AWD
Ultimate Awd W/colour Package *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DUL95,2024,Ultimate,4,445093,Crew Cab Pickup,AWD w/Colour Pkg
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DPRBB,2024,Preferred,4,452018,Crew Cab Pickup,AWD
Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DPRBC,2024,Trend,4,452019,Crew Cab Pickup,AWD
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DULBB,2024,Ultimate,4,452020,Crew Cab Pickup,AWD
Ultimate Awd W/colour Package,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DULBD,2024,Ultimate,4,452021,Crew Cab Pickup,AWD w/Colour Pkg
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,SACW6N2DULBG,2024,Ultimate Calligraphy,4,454772,Sport Utility,AWD
Xrt Awd,ALL_WHEEL_DRIVE,HYUNDAI,SACW7N2DXR00,2024,XRT,4,454773,Sport Utility,AWD
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,SACW7N2DLU00,2024,Luxury,4,454774,Sport Utility,AWD
Ultimate Calligraphy Awd W/beige Interior,ALL_WHEEL_DRIVE,HYUNDAI,SACW6N2DULBH,2024,Ultimate Calligraphy,4,454775,Sport Utility,AWD w/Beige Interior
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,SAHW7G1APRHE,2024,Preferred,4,454776,Sport Utility,AWD
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,SAHW7G1APRTH,2024,Preferred,4,454777,Sport Utility,AWD w/Trend Pkg
Ultimate Calligraphy Nhl Special Edition Awd,ALL_WHEEL_DRIVE,HYUNDAI,SAHW6G1AULCS,2024,Ultimate Calligraphy NHL Special Edition,4,458472,Sport Utility,AWD
2.5l Preferred-Trend Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,SOCS4J2EPRTR,2024,Preferred-Trend,4,452616,4dr Car,2.5L FWD
2.5t N-Line Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,SOCS4M2DNL00,2024,N Line Ultimate,4,452617,4dr Car,2.5T FWD
2.5l Preferred-Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,SOCS4K2EPRTR,2024,Preferred-Trend,4,452618,4dr Car,2.5L AWD
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPR00,2024,Preferred,4,446281,Sport Utility,AWD
Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPRTR,2024,Trend,4,446282,Sport Utility,AWD
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1ALUHE,2024,Luxury,4,446278,Sport Utility,AWD
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1AULHE,2024,Ultimate,4,446279,Sport Utility,AWD
N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1ANLHE,2024,N-Line,4,446280,Sport Utility,AWD
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUPWDG1AULPH,2024,Ultimate,4,446277,Sport Utility,AWD
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FES00,2024,Essential,4,449815,Sport Utility,IVT
Essential Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FESTT,2024,Essential,4,449816,Sport Utility,IVT w/Two-Tone
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FPR00,2024,Preferred,4,449817,Sport Utility,IVT
Preferred Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FPRTT,2024,Preferred,4,449818,Sport Utility,IVT w/Two-Tone
Ultimate Ivt W/black Interior,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FUL00,2024,Ultimate,4,449819,Sport Utility,IVT w/Black Interior
Ultimate Ivt W/denim Interior,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FULCP,2024,Ultimate,4,449820,Sport Utility,IVT w/Denim Interior
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BES00,2025,Essential,4,462584,4dr Car,IVT
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BPR00,2025,Preferred,4,462585,4dr Car,IVT
