Description,Drivetrain,Manufacturer,ModelName,ModelNumber,ModelYear,Package,PassDoors,TrimName
Essential Manual,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74MF20A100,2022,424279,4,Essential
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74IF20A100,2022,424280,4,Essential
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74IF20A200,2022,424281,4,Preferred
Preferred Ivt W/sun & Tech Package,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74IF20A283,2022,424282,4,Preferred
Ultimate Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74IF20A400,2022,424283,4,Ultimate
Ultimate Ivt W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74IF20A454,2022,424284,4,Ultimate
Ultimate Tech Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74IF20A483,2022,424285,4,Ultimate Tech
Ultimate Tech Ivt W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74IF20A479,2022,424286,4,Ultimate Tech
N-Line Dct,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74DF16DO00,2022,424287,4,N Line
Preferred Dct,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74DF16I2AA,2022,424288,4,Preferred
Ultimate Dct,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74DF16I4AA,2022,424289,4,Ultimate
Ultimate Dct W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74DF16I4AC,2022,424290,4,Ultimate
Manual,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74MF20DX39,2022,425315,4,
Dct,FRONT_WHEEL_DRIVE,HYUNDAI,,EL74DF20DX39,2022,425316,4,
Essential Rwd,REAR_WHEEL_DRIVE,HYUNDAI,,I51SEREME100,2022,424480,4,Essential
Preferred Rwd,REAR_WHEEL_DRIVE,HYUNDAI,,I51SEREME200,2022,424481,4,Preferred
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,,I51SEREME2AK,2022,424482,4,Preferred
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,,I51SEAEME2AK,2022,424483,4,Preferred
Preferred Awd Long Range Ultimate Package *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,,I51SEAEME400,2022,424484,4,Preferred
Preferred Awd Long Range Ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,,I51SEAEME2AV,2022,426982,4,Preferred
Essential Hatchback,FRONT_WHEEL_DRIVE,HYUNDAI,,IO15DF16I100,2022,424230,4,Essential
Preferred Hatchback,FRONT_WHEEL_DRIVE,HYUNDAI,,IO15DF16I200,2022,424231,4,Preferred
Ultimate Hatchback,FRONT_WHEEL_DRIVE,HYUNDAI,,IO15DF16I400,2022,424232,4,Ultimate
Essential Hatchback,FRONT_WHEEL_DRIVE,HYUNDAI,,IO15DF16PX52,2022,424233,4,Essential
Preferred Hatchback,FRONT_WHEEL_DRIVE,HYUNDAI,,IO15DF16P600,2022,424234,4,Preferred
Ultimate Hatchback,FRONT_WHEEL_DRIVE,HYUNDAI,,IO15DF16P700,2022,424235,4,Ultimate
