Manufacturer,ModelYear,ModelNumber,Description,Description2,Package,Style_ID
Hyundai,2025,ELCS4V2BES00,Elantra Essential,,,
Hyundai,2025,ELCS4V2BPR00,Elantra Preferred,,,
Hyundai,2025,ELCS4V2BPRTE,Elantra with Tech Pkg,,,
Hyundai,2025,ELCS4V2BLU00,Elantra Luxury,,,
Hyundai,2025,ELCS4V2BLUME,Elantra Luxury (Two-Tone Interior),,,
Hyundai,2025,ELCS4U1ANLUL,Elantra N-Line Ultimate,,,
Hyundai,2025,ELHS4T1BLUHE,Elantra HEV HEV Luxury,,,
Hyundai,2025,ELHS4T1BLUHM,Elantra HEV HEV Luxury (Two-Tone Interior),,,
Hyundai,2025,ELCS472ANN00,Elantra N N M/T,,,
Hyundai,2025,ELCS4M2ANN00,Elantra N N DCT,,,
Hyundai,2025,SOCS4J2EPRTR,Sonata Preferred-Trend FWD,,,
Hyundai,2025,SOCS4K2EPRTR,Sonata Preferred-Trend AWD,,,
Hyundai,2025,SOCS4M2DNL00,Sonata N-Line,,,
Hyundai,2025,VNCW5V1FES00,Venue Essential,,,
Hyundai,2025,VNCW5V1FESTT,Venue Essential (Two-tone),,,
Hyundai,2025,VNCW5V1FPR00,Venue Preferred,,,
Hyundai,2025,VNCW5V1FPRTT,Venue Preferred (Two-tone),,,
Hyundai,2025,VNCW5V1FULCP,Venue Ultimate - Denim interior,,,
Hyundai,2025,VNCW5V1FUL00,Venue Ultimate - Black interior,,,
Hyundai,2025,KOCW5V2BES00,Kona 2.0L Essential FWD,,,
Hyundai,2025,KOCW5Q2BES00,Kona 2.0L Essential AWD,,,
Hyundai,2025,KOCW5V2BPR00,Kona 2.0L Preferred FWD,,,
Hyundai,2025,KOCW5Q2BPR00,Kona 2.0L Preferred AWD,,,
Hyundai,2025,KOCW5Q2BPRTR,Kona 2.0L Preferred AWD with Trend Pkg,,,
Hyundai,2025,KOCW5K1APRSP,Kona 1.6T Preferred Sport AWD,,,
Hyundai,2025,KOCW5K1ANL00,Kona 1.6T N Line AWD,,,
Hyundai,2025,KOCW5K1ANLTT,Kona 1.6T N Line AWD w/ Two-tone,,,
Hyundai,2025,KOCW5K1ANLUL,Kona 1.6T N Line Ultimate AWD,,,
Hyundai,2025,KOCW5K1ANLBA,Kona 1.6T N Line Ultimate AWD w/ Two-tone,,,
Hyundai,2025,KEEW5ZE4PR00,Kona EV Preferred,,,
Hyundai,2025,KEEW5ZE4PRTR,Kona EV Preferred with Trend Pkg,,,
Hyundai,2025,KEEW5ZE4PRUP,Kona EV Preferred with Ultimate Pkg,,,
Hyundai,2025,KEEW5ZE4PRUT,Kona EV Preferred with Ultimate Pkg with two tone,,,
Hyundai,2025,KEEW5ZE4PRUG,Kona EV Preferred with Ultimate Pkg Green Interior,,,
Hyundai,2025,KEEW5ZE4PRNU,Kona EV Preferred N-Line with Ultimate Pk,,,
Hyundai,2025,KE2SEFEME400,Kona EV Ultimate,,,
Hyundai,2025,KE2SEFEME466,Kona EV Ultimate w/Two-Tone Interior,,,
Hyundai,2025,KE2SEFEME4BF,Kona EV Ultimate w/Sage-Green Interior,,,
Hyundai,2025,KE2SEFEMEO20,Kona EV N Line Ultimate,,,
Hyundai,2025,TUCWDK2EPR00,Tucson Preferred,,,
Hyundai,2025,TUCWDK2EPRTR,Tucson Trend,,,
Hyundai,2025,TUCWDK2EXR00,Tucson XRT,,,
Hyundai,2025,TUHWDG1ANLHE,Tucson HEV N Line HEV,,,
Hyundai,2025,TUHWDG1AULHE,Tucson HEV Ultimate HEV,,,
Hyundai,2025,TUPWDG1AULPH,Tucson PHEV Ultimate PHEV,,,
Hyundai,2025,SAHW7G1APRHE,Santa Fe 1.6T Preferred Hybrid AWD 7-Pass,,,
Hyundai,2025,SAHW7G1APRTH,Santa Fe 1.6T Preferred Hybrid w/Trend Pkg AWD 7-Pass,,,
Hyundai,2025,SACW7N2DXR00,Santa Fe 2.5T XRT AWD 7-Pass,,,
Hyundai,2025,SACW7N2DLU00,Santa Fe 2.5T Luxury AWD 7-pass,,,
Hyundai,2025,SACW6N2DULBG,Santa Fe 2.5T Ultimate Calligraphy AWD 6-Pass,,,
