Year,ModelNumber,Model,Trim,Source_sheets,Fixed_model,Tags
2026,ELCS4V2BES00,Elantra,Essential,2026,Elantra,Essential
2026,ELCS4V2BPR00,Elantra,Preferred,2026,Elantra,Preferred
2026,ELCS4V2BPRTE,Elantra,with Tech Pkg,2026,Elantra,"Pkg, Tech"
2026,ELCS4V2BLU00,Elantra,Luxury,2026,Elantra,Luxury
2026,ELCS4V2BLUME,Elantra,Luxury (Two-Tone Interior),2026,Elantra,Luxury
2026,ELCS4U1ANLUL,Elantra,N-Line Ultimate,2026,Elantra,"N-line, Ultimate"
2026,ELHS4T1BLUHE,Elantra Hev,HEV Luxury,2026,Elantra,"Hybrid, Luxury"
2026,ELHS4T1BLUHM,Elantra Hev,HEV Luxury (Two-Tone Interior),2026,Elantra,"Hybrid, Luxury"
2026,ELCS472ANN00,Elantra N,Manual,2026,Elantra,"Manual, N"
2026,ELCS4M2ANN00,Elantra N,DCT,2026,Elantra,"Dct, N"
2026,ELCS472ANNTC,Elantra N,TCR Manual,2026,Elantra,"Manual, N"
2026,ELCS4M2ANNTC,Elantra N,TCR DCT,2026,Elantra,"Dct, N"
2026,SOCS4M2DNL00,Sonata,N Line Ultimate FWD,2026,Sonata,"Fwd, N, Ultimate"
2026,SOCS4K2EPRTR,Sonata,Preferred-Trend AWD,2026,Sonata,Awd
2026,SHHS4F2FPRTH,Sonata Hybrid,Preferred-Trend FWD,2026,Sonata,"Fwd, Hybrid"
2026,VNCW5V1FES00,Venue,Essential IVT,2026,Venue,"Essential, Ivt"
2026,VNCW5V1FESTT,Venue,Essential IVT w/Two-Tone,2026,Venue,"Essential, Ivt"
2026,VNCW5V1FPR00,Venue,Preferred IVT,2026,Venue,"Ivt, Preferred"
2026,VNCW5V1FPRTT,Venue,Preferred IVT w/Two-Tone,2026,Venue,"Ivt, Preferred"
2026,VNCW5V1FUL00,Venue,Ultimate IVT w/Black Interior,2026,Venue,"Black, Ivt, Ultimate"
2026,VNCW5V1FULCP,Venue,Ultimate IVT w/Denim Interior,2026,Venue,"Ivt, Ultimate"
2026,KOCW5V2BES00,Kona,2.0L Essential FWD,2026,Kona,"2.0l, Essential, Fwd"
2026,KOCW5Q2BES00,Kona,2.0L Essential AWD,2026,Kona,"2.0l, Awd, Essential"
2026,KOCW5V2BPR00,Kona,2.0L Preferred FWD,2026,Kona,"2.0l, Fwd, Preferred"
2026,KOCW5Q2BPR00,Kona,2.0L Preferred AWD,2026,Kona,"2.0l, Awd, Preferred"
2026,KOCW5Q2BPRTR,Kona,2.0L Preferred AWD w/Trend Package,2026,Kona,"2.0l, Awd, Preferred, Trend"
2026,KOCW5K1ANL00,Kona,1.6T N Line AWD,2026,Kona,"Awd, N"
2026,KOCW5K1ANLTT,Kona,1.6T N Line AWD w/Two-Tone Roof,2026,Kona,"Awd, N"
2026,KOCW5K1ANLUL,Kona,1.6T N Line Ultimate AWD,2026,Kona,"Awd, N, Ultimate"
2026,KOCW5K1ANLBA,Kona,1.6T N Line Ultimate AWD w/Two-Tone Roof,2026,Kona,"Awd, N, Ultimate"
2026,KEEW5ZE4PR00,Kona EV,Preferred,2026,Kona Ev,Preferred
2026,KEEW5ZE4PRTR,Kona EV,Preferred w/ Trend Pkg,2026,Kona Ev,"Pkg, Preferred, Trend"
