Model,Description,Description2,source_file,Year,is_active_model
BU52RS,Jetta,Trendline,MAR 25 FINANCE,2025,True
BU52RS,Jetta,Trendline,MAR 25 LEASE,2025,True
BU52RS,Jetta,Trendline,MAR 25 SELECT,2025,True
BU52RS,Jetta,Trendline,MAR 26 FINANCE,2026,True
BU52RS,Jetta,Trendline,MAR 26 LEASE,2026,True
BU52RS,Jetta,Trendline,MAR 26 SELECT,2026,True
BU53RS,Jetta,Comfortline,MAR 25 FINANCE,2025,True
BU53RS,Jetta,Comfortline,MAR 25 LEASE,2025,True
BU53RS,Jetta,Comfortline,MAR 25 SELECT,2025,True
BU53RS,Jetta,Comfortline,MAR 26 FINANCE,2026,True
BU53RS,Jetta,Comfortline,MAR 26 LEASE,2026,True
BU53RS,Jetta,Comfortline,MAR 26 SELECT,2026,True
BU54RS,Jetta,Highline,MAR 25 FINANCE,2025,True
BU54RS,Jetta,Highline,MAR 25 LEASE,2025,True
BU54RS,Jetta,Highline,MAR 25 SELECT,2025,True
BU54RS,Jetta,Highline,MAR 26 FINANCE,2026,True
BU54RS,Jetta,Highline,MAR 26 LEASE,2026,True
BU54RS,Jetta,Highline,MAR 26 SELECT,2026,True
BU59V2,Jetta GLI,GLI,MAR 25 FINANCE,2025,True
BU59V2,Jetta GLI,GLI,MAR 25 LEASE,2025,True
BU59V2,Jetta GLI,GLI,MAR 25 SELECT,2025,True
BU59V2,Jetta GLI,GLI,MAR 26 FINANCE,2026,True
BU59V2,Jetta GLI,GLI,MAR 26 LEASE,2026,True
BU59V2,Jetta GLI,GLI,MAR 26 SELECT,2026,True
CA33PR,Atlas,Comfortline,MAR 25 FINANCE,2025,True
CA33PR,Atlas,Comfortline,MAR 25 LEASE,2025,True
CA33PR,Atlas,Comfortline,MAR 25 SELECT,2025,True
CA33PR,Atlas,Comfortline,MAR 26 FINANCE,2026,True
CA33PR,Atlas,Comfortline,MAR 26 LEASE,2026,True
CA33PR,Atlas,Comfortline,MAR 26 SELECT,2026,True
CA34PR,Atlas,Highline,MAR 25 FINANCE,2025,True
CA34PR,Atlas,Highline,MAR 25 LEASE,2025,True
CA34PR,Atlas,Highline,MAR 25 SELECT,2025,True
CA34PR,Atlas,Highline,MAR 26 FINANCE,2026,True
CA34PR,Atlas,Highline,MAR 26 LEASE,2026,True
CA34PR,Atlas,Highline,MAR 26 SELECT,2026,True
CA35PR,Atlas,Execline,MAR 25 FINANCE,2025,True
CA35PR,Atlas,Execline,MAR 25 LEASE,2025,True
CA35PR,Atlas,Execline,MAR 25 SELECT,2025,True
CA35PR,Atlas,Execline,MAR 26 FINANCE,2026,True
CA35PR,Atlas,Execline,MAR 26 LEASE,2026,True
CA35PR,Atlas,Execline,MAR 26 SELECT,2026,True
CA37PR,Atlas,Peak Edition,MAR 25 FINANCE,2025,True
CA37PR,Atlas,Peak Edition,MAR 25 LEASE,2025,True
CA37PR,Atlas,Peak Edition,MAR 25 SELECT,2025,True
CA37PR,Atlas,Peak Edition,MAR 26 FINANCE,2026,True
CA37PR,Atlas,Peak Edition,MAR 26 LEASE,2026,True
CA37PR,Atlas,Peak Edition,MAR 26 SELECT,2026,True
CL22SZ,Taos,Trendline,MAR 25 FINANCE,2025,True
CL22SZ,Taos,Trendline,MAR 25 LEASE,2025,True
CL22SZ,Taos,Trendline,MAR 25 SELECT,2025,True
CL22SZ,Taos,Trendline,MAR 26 FINANCE,2026,True
CL22SZ,Taos,Trendline,MAR 26 LEASE,2026,True
CL22SZ,Taos,Trendline,MAR 26 SELECT,2026,True
CL23SR,Taos,Comfortline,MAR 25 FINANCE,2025,True
CL23SR,Taos,Comfortline,MAR 25 LEASE,2025,True
CL23SR,Taos,Comfortline,MAR 25 SELECT,2025,True
CL23SR,Taos,Comfortline,MAR 26 FINANCE,2026,True
CL23SR,Taos,Comfortline,MAR 26 LEASE,2026,True
CL23SR,Taos,Comfortline,MAR 26 SELECT,2026,True
CL24SR,Taos,Highline,MAR 25 FINANCE,2025,True
CL24SR,Taos,Highline,MAR 25 LEASE,2025,True
CL24SR,Taos,Highline,MAR 25 SELECT,2025,True
CL24SR,Taos,Highline,MAR 26 FINANCE,2026,True
CL24SR,Taos,Highline,MAR 26 LEASE,2026,True
CL24SR,Taos,Highline,MAR 26 SELECT,2026,True
CL26SR,Taos,Comfortline Black,MAR 25 FINANCE,2025,True
CL26SR,Taos,Comfortline Black,MAR 25 LEASE,2025,True
CL26SR,Taos,Comfortline Black,MAR 25 SELECT,2025,True
CL26SR,Taos,Comfortline Black,MAR 26 FINANCE,2026,True
CL26SR,Taos,Comfortline Black,MAR 26 LEASE,2026,True
CL26SR,Taos,Comfortline Black,MAR 26 SELECT,2026,True
