Sheet,Model,Record Index,Rule,Issue,Part Number,Description
2024_santa_cruz,santa_cruz,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2024 Pref: No model number found. Keywords searched: ['santa', 'cruz', 'pref']. → This model/trim combination may not exist in the vehicle database for 2024. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2024_santa_cruz,santa_cruz,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2024 Trend: No model number found. Keywords searched: ['santa', 'cruz', 'trend']. → This model/trim combination may not exist in the vehicle database for 2024. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2024_santa_cruz,santa_cruz,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2024 Ult: No model number found. Keywords searched: ['santa', 'cruz', 'ult']. → This model/trim combination may not exist in the vehicle database for 2024. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2024_santa_fe,santa_fe,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2024 HEV NHL Ed: No model number found. Keywords searched: ['santa', 'fe', 'hev', 'nhl', 'ed']. → This model/trim combination may not exist in the vehicle database for 2024. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2024_santa_fe,santa_fe,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2024 Lux: No model number found. Keywords searched: ['santa', 'fe', 'lux']. → This model/trim combination may not exist in the vehicle database for 2024. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2024_santa_fe,santa_fe,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2024 Pref HEV: No model number found. Keywords searched: ['santa', 'fe', 'pref', 'hev']. → This model/trim combination may not exist in the vehicle database for 2024. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2024_santa_fe,santa_fe,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2024 Pref HEV w/ Trend: No model number found. Keywords searched: ['santa', 'fe', 'pref', 'hev', 'w/', 'trend']. → This model/trim combination may not exist in the vehicle database for 2024. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2024_santa_fe,santa_fe,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2024 Ult Calli: No model number found. Keywords searched: ['santa', 'fe', 'ult', 'calli']. → This model/trim combination may not exist in the vehicle database for 2024. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2024_santa_fe,santa_fe,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2024 XRT: No model number found. Keywords searched: ['santa', 'fe', 'xrt']. → This model/trim combination may not exist in the vehicle database for 2024. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2025_santa_cruz,santa_cruz,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2025 Pref: No model number found. Keywords searched: ['santa', 'cruz', 'pref']. → This model/trim combination may not exist in the vehicle database for 2025. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2025_santa_cruz,santa_cruz,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2025 Ult: No model number found. Keywords searched: ['santa', 'cruz', 'ult']. → This model/trim combination may not exist in the vehicle database for 2025. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2025_santa_cruz,santa_cruz,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2025 XRT: No model number found. Keywords searched: ['santa', 'cruz', 'xrt']. → This model/trim combination may not exist in the vehicle database for 2025. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2025_santa_fe,santa_fe,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2025 Lux: No model number found. Keywords searched: ['santa', 'fe', 'lux']. → This model/trim combination may not exist in the vehicle database for 2025. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2025_santa_fe,santa_fe,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2025 Pref HEV: No model number found. Keywords searched: ['santa', 'fe', 'pref', 'hev']. → This model/trim combination may not exist in the vehicle database for 2025. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2025_santa_fe,santa_fe,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2025 Pref HEV w/ Trend: No model number found. Keywords searched: ['santa', 'fe', 'pref', 'hev', 'w/', 'trend']. → This model/trim combination may not exist in the vehicle database for 2025. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2025_santa_fe,santa_fe,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2025 Ult Calli: No model number found. Keywords searched: ['santa', 'fe', 'ult', 'calli']. → This model/trim combination may not exist in the vehicle database for 2025. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2025_santa_fe,santa_fe,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2025 XRT: No model number found. Keywords searched: ['santa', 'fe', 'xrt']. → This model/trim combination may not exist in the vehicle database for 2025. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2026_santa_cruz,santa_cruz,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2026 Pref: No model number found. Keywords searched: ['santa', 'cruz', 'pref']. → This model/trim combination may not exist in the vehicle database for 2026. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2026_santa_cruz,santa_cruz,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2026 Ult: No model number found. Keywords searched: ['santa', 'cruz', 'ult']. → This model/trim combination may not exist in the vehicle database for 2026. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2026_santa_cruz,santa_cruz,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2026 XRT: No model number found. Keywords searched: ['santa', 'cruz', 'xrt']. → This model/trim combination may not exist in the vehicle database for 2026. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
2026_santa_fe,santa_fe,,model_number_lookup_rule,"[DATABASE_NO_MATCH] Hyundai 2026 Calli HEV: No model number found. Keywords searched: ['santa', 'fe', 'calli', 'hev']. → This model/trim combination may not exist in the vehicle database for 2026. Verify: (1) trim name is correct, (2) this year/model combo is in DB, (3) trim is not listed as a package modifier.",,
